,id,seccion,agrupacion_ganadora,COMPROMISO FEDERAL_perc,FRENTE AMPLIO PROGRESISTA_perc,FRENTE POPULAR_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,UNION PARA EL DESARROLLO SOCIAL_perc,COALICION CIVICA-ARI_perc,COMPROMISO FEDERAL_votos,FRENTE AMPLIO PROGRESISTA_votos,FRENTE POPULAR_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,UNION PARA EL DESARROLLO SOCIAL_votos,COALICION CIVICA-ARI_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
340,MENDOZA_CAPITAL,"Capital, Mendoza",Alianza Frente para la Victoria,19.25,24.14,3.53,1.7,33.97,13.87,3.55,13027,16338,2387,1152,22986,9384,2401,75.35,98091,73908,4.54,0.65,3.25,3353,478,2402,MENDOZA
341,MENDOZA_GENERAL ALVEAR,"General Alvear, Mendoza",Alianza Frente para la Victoria,12.07,13.17,2.66,0.91,54.85,14.56,1.76,2877,3138,635,218,13073,3471,420,78.45,34567,27119,7.37,0.97,3.78,1998,263,1026,MENDOZA
342,MENDOZA_GODOY CRUZ,"Godoy Cruz, Mendoza",Alianza Frente para la Victoria,19.41,18.6,1.73,1.93,43.06,12.6,2.66,19856,19029,1767,1979,44041,12885,2723,77.09,145986,112539,5.13,1.12,2.86,5773,1262,3224,MENDOZA
343,MENDOZA_GUAYMALLEN,"Guaymallen, Mendoza",Alianza Frente para la Victoria,22.47,13.55,1.8,2.05,47.28,10.67,2.17,30852,18600,2465,2817,64917,14655,2986,78.01,194567,151773,5.01,0.91,3.62,7606,1374,5501,MENDOZA
344,MENDOZA_JUNIN,"Junin, Mendoza",Alianza Frente para la Victoria,21.73,8.78,0.79,0.86,53.51,12.47,1.85,4459,1801,163,177,10980,2558,380,80.17,28702,23010,6.48,1.11,3.23,1492,256,744,MENDOZA
345,MENDOZA_LA PAZ,"La Paz, Mendoza",Alianza Frente para la Victoria,8.78,2.1,0.28,1.85,53.07,32.09,1.84,507,121,16,107,3065,1853,106,84.88,7527,6389,7.03,0.64,1.94,449,41,124,MENDOZA
346,MENDOZA_LAS HERAS,"Las Heras, Mendoza",Alianza Frente para la Victoria,22.95,8.86,1.45,1.89,53.96,9.06,1.83,21314,8234,1348,1753,50122,8417,1700,78.68,132203,104015,5.31,1.86,3.53,5522,1931,3674,MENDOZA
347,MENDOZA_LAVALLE,"Lavalle, Mendoza",Alianza Frente para la Victoria,16.34,4.11,0.74,0.95,67.16,9.2,1.49,2824,711,128,165,11609,1590,258,80.85,25125,20313,8.35,2.48,4.07,1697,504,827,MENDOZA
348,MENDOZA_LUJAN DE CUYO,"Lujan, Mendoza",Alianza Frente para la Victoria,22.45,14.64,1.5,1.59,49.69,8.12,2.01,12985,8468,869,919,28739,4695,1162,80.99,78873,63876,4.72,0.75,3.99,3014,479,2546,MENDOZA
349,MENDOZA_MAIPU,"Maipu, Mendoza",Alianza Frente para la Victoria,22.88,9.16,1.46,2.07,54.08,8.6,1.74,19016,7614,1216,1722,44949,7149,1450,82.47,113679,93750,6.67,1.4,3.27,6255,1312,3067,MENDOZA
350,MENDOZA_MALARGÜE,"Malargüe, Mendoza",Alianza Frente para la Victoria,8.56,6.04,1.58,0.42,70.14,11.29,1.97,1028,725,190,50,8422,1356,237,74.58,19973,14896,15.43,1.09,2.86,2299,163,426,MENDOZA
351,MENDOZA_RIVADAVIA,"Rivadavia, Mendoza",Alianza Frente para la Victoria,19.28,13.45,0.59,0.88,49.65,14.22,1.94,5480,3824,167,249,14114,4043,552,82.33,39040,32141,6.75,0.32,4.48,2171,102,1439,MENDOZA
352,MENDOZA_SAN CARLOS,"San Carlos, Mendoza",Alianza Frente para la Victoria,19.81,8.49,1.51,1.25,53.4,13.18,2.36,2986,1280,227,188,8049,1987,356,79.58,21826,17370,7.44,0.64,5.14,1293,112,892,MENDOZA
353,MENDOZA_SAN MARTIN,"San Martin, Mendoza",Alianza Frente para la Victoria,22.57,8.81,1.16,1.27,55.27,9.42,1.52,13421,5236,689,753,32864,5602,901,80.35,81059,65131,4.57,0.7,3.42,2977,459,2229,MENDOZA
354,MENDOZA_SAN RAFAEL,"San Rafael, Mendoza",Alianza Frente para la Victoria,17.64,8.68,2.48,0.97,58.34,9.83,2.06,15908,7827,2237,871,52598,8865,1857,77.87,129475,100819,5.29,0.63,4.65,5336,634,4686,MENDOZA
355,MENDOZA_SANTA ROSA,"Santa Rosa, Mendoza",Alianza Frente para la Victoria,15.23,3.05,0.42,0.36,66.89,13.39,0.65,1257,252,35,30,5522,1105,54,85.44,10596,9053,6.75,0.44,1.62,611,40,147,MENDOZA
356,MENDOZA_TUNUYAN,"Tunuyan, Mendoza",Alianza Frente para la Victoria,16.26,9.4,1.03,1.0,56.13,13.72,2.46,3695,2137,234,228,12755,3117,559,77.01,32891,25330,5.44,1.75,3.09,1379,443,783,MENDOZA
357,MENDOZA_TUPUNGATO,"Tupungato, Mendoza",Alianza Frente para la Victoria,21.04,5.27,1.09,1.02,54.5,14.62,2.47,2941,736,152,142,7618,2044,345,77.54,20239,15693,6.1,3.41,1.41,958,535,222,MENDOZA
427,SAN JUAN_25 DE MAYO,"25 De Mayo, San Juan",Alianza Frente para la Victoria,10.98,1.22,0.55,0.54,82.92,3.48,0.31,736,82,37,36,5559,233,21,72.5,10680,7743,12.77,0.06,0.58,989,5,45,SAN JUAN
428,SAN JUAN_ALBARDON,"Albardon, San Juan",Alianza Frente para la Victoria,10.86,14.8,1.32,0.81,66.94,4.48,0.79,1332,1815,162,99,8209,549,97,80.94,16224,13131,6.02,0.13,0.46,790,17,61,SAN JUAN
429,SAN JUAN_ANGACO,"Angaco, San Juan",Alianza Frente para la Victoria,30.44,0.85,1.2,0.37,61.53,5.39,0.22,1496,42,59,18,3024,265,11,84.08,6212,5223,5.53,0.06,0.31,289,3,16,SAN JUAN
430,SAN JUAN_CALINGASTA,"Calingasta, San Juan",Alianza Frente para la Victoria,18.8,2.44,0.95,0.66,75.2,1.86,0.09,849,110,43,30,3396,84,4,78.14,6195,4841,5.27,0.04,1.4,255,2,68,SAN JUAN
431,SAN JUAN_CAPITAL,"Capital, San Juan",Alianza Frente para la Victoria,17.08,12.6,4.53,1.59,51.39,11.26,1.54,11319,8351,3004,1054,34059,7462,1023,75.07,94876,71222,5.9,0.09,0.96,4203,66,681,SAN JUAN
432,SAN JUAN_CAUCETE,"Caucete, San Juan",Alianza Frente para la Victoria,12.15,2.28,1.29,0.94,76.09,6.52,0.74,1878,352,199,145,11760,1007,114,73.9,24045,17770,12.42,0.04,0.57,2207,7,101,SAN JUAN
433,SAN JUAN_CHIMBAS,"Chimbas, San Juan",Alianza Frente para la Victoria,15.19,4.0,1.42,0.97,73.35,4.32,0.75,5435,1430,510,347,26254,1547,268,77.18,49111,37906,4.41,0.08,1.08,1672,32,411,SAN JUAN
434,SAN JUAN_IGLESIA,"Iglesia, San Juan",Alianza Frente para la Victoria,13.83,2.36,1.3,1.46,74.0,6.24,0.81,510,87,48,54,2729,230,30,80.33,4988,4007,7.14,0.02,0.8,286,1,32,SAN JUAN
435,SAN JUAN_JACHAL,"Jachal, San Juan",Alianza Frente para la Victoria,4.57,3.02,0.77,1.18,68.39,21.42,0.66,548,362,92,141,8206,2570,79,80.35,15870,12751,4.99,0.17,0.75,636,22,95,SAN JUAN
436,SAN JUAN_9 DE JULIO,"Nueve De Julio, San Juan",Alianza Frente para la Victoria,17.74,1.98,0.9,0.73,72.6,5.95,0.1,870,97,44,36,3561,292,5,81.73,6370,5206,4.92,0.08,0.79,256,4,41,SAN JUAN
