,id,seccion,agrupacion_ganadora,COMPROMISO FEDERAL_perc,FRENTE AMPLIO PROGRESISTA_perc,FRENTE POPULAR_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,UNION PARA EL DESARROLLO SOCIAL_perc,COALICION CIVICA-ARI_perc,COMPROMISO FEDERAL_votos,FRENTE AMPLIO PROGRESISTA_votos,FRENTE POPULAR_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,UNION PARA EL DESARROLLO SOCIAL_votos,COALICION CIVICA-ARI_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
177,CHUBUT_BIEDMA,"Biedma, Chubut",Alianza Frente para la Victoria,3.4,9.05,18.95,2.1,57.08,8.06,1.35,1393,3703,7756,858,23360,3300,552,77.15,54879,42337,1.21,0.29,1.84,511,123,781,CHUBUT
178,CHUBUT_CUSHAMEN,"Cushamen, Chubut",Alianza Frente para la Victoria,1.79,8.43,18.65,1.63,61.18,7.4,0.91,243,1142,2527,221,8287,1003,123,77.28,18080,13972,1.5,0.01,1.55,209,1,216,CHUBUT
179,CHUBUT_ESCALANTE,"Escalante, Chubut",Alianza Frente para la Victoria,3.41,8.53,7.27,2.02,67.43,9.5,1.83,3280,8205,6991,1947,64844,9132,1764,80.65,123208,99367,1.49,0.03,1.71,1478,26,1700,CHUBUT
180,CHUBUT_FLORENTINO AMEGHINO,"F. Ameghino, Chubut",Alianza Frente para la Victoria,1.43,2.85,25.18,0.71,59.62,9.62,0.59,12,24,212,6,502,81,5,70.17,1217,854,1.17,0.0,0.23,10,0,2,CHUBUT
181,CHUBUT_FUTALEUFU,"Futaleufu, Chubut",Alianza Frente para la Victoria,2.6,7.72,23.1,2.09,52.0,10.8,1.7,618,1835,5490,497,12359,2567,403,76.13,32340,24619,1.84,0.02,1.59,452,6,392,CHUBUT
182,CHUBUT_GAIMAN,"Gaiman, Chubut",Alianza Frente para la Victoria,2.22,6.65,28.58,1.12,46.23,14.22,0.99,139,417,1792,70,2899,892,62,80.14,8015,6423,1.21,0.08,1.07,78,5,69,CHUBUT
183,CHUBUT_GASTRE,"Gastre, Chubut",Alianza Frente para la Victoria,0.63,0.88,34.63,0.76,54.53,7.81,0.76,5,7,275,6,433,62,6,60.36,1337,807,1.12,0.0,0.5,9,0,4,CHUBUT
184,CHUBUT_LANGUIÑEO,"Languiñeo, Chubut",Alianza Frente para la Victoria,0.87,2.08,26.43,0.29,59.95,9.35,1.04,15,36,458,5,1039,162,18,72.74,2436,1772,1.47,0.0,0.73,26,0,13,CHUBUT
185,CHUBUT_MARTIRES,"Martires, Chubut",Alianza Frente para la Victoria,1.89,1.58,33.75,0.32,44.16,17.35,0.95,6,5,107,1,140,55,3,49.55,660,327,2.75,0.0,0.31,9,0,1,CHUBUT
186,CHUBUT_PASO DE INDIOS,"Paso De Indios, Chubut",Alianza Frente Popular,2.01,1.71,42.96,0.5,40.54,11.27,1.01,20,17,427,5,403,112,10,71.3,1439,1026,2.53,0.0,0.58,26,0,6,CHUBUT
