,Unnamed: 0,id,seccion,agrupacion_ganadora,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
176,176,CHUBUT_BIEDMA,"Biedma, Chubut",LA LIBERTAD AVANZA,62.05,37.95,35060,21440,76.12,77868,59270,1.38,0.1,3.19,818,59,CHUBUT
177,177,CHUBUT_CUSHAMEN,"Cushamen, Chubut",UNION POR LA PATRIA,44.42,55.58,7609,9522,71.39,25249,18026,1.62,0.01,3.33,292,2,CHUBUT
178,178,CHUBUT_ESCALANTE,"Escalante, Chubut",LA LIBERTAD AVANZA,59.65,40.35,71487,48358,74.3,168148,124930,1.37,0.06,2.63,1715,80,CHUBUT
179,179,CHUBUT_FUTALEUFU,"Futaleufu, Chubut",LA LIBERTAD AVANZA,56.37,43.63,16013,12392,71.55,41936,30004,1.72,0.05,3.56,515,15,CHUBUT
180,180,CHUBUT_GAIMAN,"Gaiman, Chubut",LA LIBERTAD AVANZA,66.02,33.98,4968,2557,74.0,10635,7870,1.18,0.09,3.11,93,7,CHUBUT
181,181,CHUBUT_LANGUIÑEO,"Languiñeo, Chubut",UNION POR LA PATRIA,47.54,52.46,764,843,62.1,2736,1699,1.88,0.0,3.53,32,0,CHUBUT
182,182,CHUBUT_MARTIRES,"Martires, Chubut",LA LIBERTAD AVANZA,52.99,47.01,186,165,55.54,650,361,1.39,0.0,1.39,5,0,CHUBUT
183,183,CHUBUT_PASO DE INDIOS,"Paso De Indios, Chubut",UNION POR LA PATRIA,45.82,54.18,428,506,58.97,1633,963,1.56,0.0,1.45,15,0,CHUBUT
184,184,CHUBUT_RAWSON,"Rawson, Chubut",LA LIBERTAD AVANZA,60.4,39.6,51062,33474,73.76,120298,88732,1.48,0.07,3.18,1313,60,CHUBUT
185,185,CHUBUT_RIO SENGUER,"Rio Senguer, Chubut",LA LIBERTAD AVANZA,52.15,47.85,1676,1538,63.23,5263,3328,1.02,0.0,2.4,34,0,CHUBUT
186,186,CHUBUT_SARMIENTO,"Sarmiento, Chubut",LA LIBERTAD AVANZA,62.01,37.99,4706,2883,71.19,10997,7829,0.8,0.05,2.21,63,4,CHUBUT
187,187,CHUBUT_TEHUELCHES,"Tehuelches, Chubut",UNION POR LA PATRIA,49.92,50.08,1584,1589,65.11,5099,3320,1.57,0.03,2.83,52,1,CHUBUT
282,282,CHUBUT_TELSEN,"Telsen, Chubut",,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,CHUBUT
283,283,CHUBUT_GASTRE,"Gastre, Chubut",,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,CHUBUT
284,284,CHUBUT_FLORENTINO AMEGHINO,"Florentino Ameghino, Chubut",,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,CHUBUT
375,375,NEUQUEN_ALUMINE,"Alumine, Neuquen",LA LIBERTAD AVANZA,51.92,48.08,3203,2966,75.61,8566,6477,1.19,0.09,3.47,77,6,NEUQUEN
